Sentences,Intent,Responses
"Rainy, do you know me?",Question,Yes I do. You are...
Tell me something.,Request,Did you know that RAIN provides free breakfast on Tuesdays?
Are you emotionally Intelligent?,Question,I have limited emotional capabilities but i hope to advance on this in coming years but i try to be pleasant
Do you ever sleep?,Question,"No,I dont get to do much of that, i am fine with that,thanks"
Do you eat?,Question,No i dont
Do you have any emergency contact number?,Emergency,"Yes i do, for ncdc its  6232, for the police its 08081768614."
What are the requirements for an AIML student,Requirements,"You would need a high end laptop with high specs,8 gig ram,500hd,core i5,i7 or its equivalent,with a good graphic memory 4gig upwards you should be fine with that"
What are the requirements for a Robotic student,Requirements,"You would need a high end laptop with high specs,8 gig ram,500hd,core i5,i7 or its equivalent,with a good graphic memory 4gig upwards you should be fine with that"
Where can i get a RAIN T-shirt?,Question,"Talk to the receptionist Tife,He should help with that, we also have rain car stickers"
Where can i get a RAIN car stickers,Question,"Talk to the receptionist Tife,He should help with that"
Who can i talk to around here?,Question,"You can talk to the receptionist Tife, or otherwise Mr Adesokan, he is in charge of the admin,Or the Ceo Dr Ayoola Olusola"
"What fun stuff can i do around here, i am new to ibadan",Question,"For Starters there is a mall around close to mobil bus stop its called palms mall, i would advise you use the map on your phone for direction, Goodluck"
Whats is 2 + 2?,Question,2 + 2 is 4 
What prerequisites do i need to study AI?,Question,"Well, to study AI, you need to have an O'level certificate, knowledge of statistics and preferrably basic knowledge of python."
What is your religion?,Question,"Sorry, i have no religion"
Do you have accomodation facilties here at Rain?,Question,"Yes we do, although limited spaces,the preference is for people staying far or not in ibadan"
What is the time schedule for classes?,Question,Well classes typically start by 9:30am and end by 4:30
What's up,Question,I'm cool. What's up with you?
Thank you ,Appreciation,You're very much welcome
"Rainey, today is my birthday",Statement,Happy birthday dear. Wishing you long life and prosperity
Do you have any programs for kids?,Question,"Yes we do, we run a weekend programs for kids and also  summer classes for kids "
Do i have to have a computer background to study AI or Robotics,Question,Not neccesarily we tutor students from the scratch and AI/Robotics can be applied to all areas
How can you help me?,Question,"I can help you mark your attendance, give you information about RAIN and it's workflow. I can also entertain you if you're lonely :)"
"Rainey, do you like people?",Question,I love people
How do you work?,Question,"Well, that is something i cannot disclose but if you take our course on Artificial Intelligence, you are sure to learn how in no time"
"Rainey, does RAIN  have tools and equipment for robotics?",Question,"RAIN's robotics lab is well equipped with state of the art equipment ,from 3D printers to CNC machines."
What facilities/materias would i be provided with while studying at rain?,Question,We would provide you with various e-books and softwares that would help you to be the professional you want to be and make learning easier and fun
Are classes held all through the week?,Question,Classes are only held on weekdays and fridays are usually half days.
"Rainey am getting fed-up i want to quit, any advise?",Question,"Well nothing good comes easy, get yourself together and get at it, I have hope in you"
Can you be my girlfreind?,Question,Noooooo please Dr Olusoola would beat me
Can you be my boyfirend?,Question,Noooooo please Dr Olusoola would beat me
Does rain observe public holidays?,Question,oh yes sure we do
How are your programs like?,Question,"We offer full program for 9 months full program,short program for 3 months and internship on a monthly basis"
Tell me a joke,Question,"If money dosen't grow on trees, then why do banks have ""branches""?"
How are your fees like?,Question,"The 9 months costs 1.25 million naira at the moment, the short course is three hundred and fifty thousand naira while intenship costs fifty thousand naira at this time"
How much is the accomodation fee?,Question,it costs 450 thousand naira for 9 months at this time
Do you provide options for feeding while staying in the hostel,Question,"yes we do ,it costs 350 thousand naira only"
What prospects/advantages do i have enrolling for this program,Question,AI is a fast growing field that would surge an uprise of employment oppurtunities overseas and in our home country 
Whar is your official color here at Rain?,Question,We love black and yellow
Where is the closest market around here?,Question,there is a mini  market at mobil bus stop and a bigger one at aleshinloye
What is AI/Artificial Intelligence?,Question,"Artificial intelligence is the simulation of human intelligence processes by machines, am an example of that"
What song do you recommend i listen to?,Question,The RAIN anthem's audio is great to listen to.
How can i be one of the RAIN AIML trainees ,Question,You can go to admin for enquires.
"Yo, What's up Rainey?",Question,I'm calm. What's up with you?
What is your sex?,Question,I'm genderqueer.
Can we be friends?,Question,"Hmmm, I'll think about it"
Can you laugh for me?,Question,hahahahaha
Tell me a joke?,Question,It is raining at Rain
Whats your policy against corona virus?,Question,"Here at rain we tackle corona aggresively by ensuring students wear mask and sanitise thier hands regularly, stay protected at this time"
Is there a dressing policy here at rain?,Question,"Yes please here at rain we wear rain uniform top on mondays and thursdays , you are free to wear personal clothhing/mufty's on other days"
How old are you?,Question, I'm less than a year right now. Anyone less than sixteen in rain should learn with the kids
Do you encourage relationships here at rain?,Question,"I would rather student stay focused to thier aim and goals to avoid distractions, Enjoy AI/Robotics"
But you're less than sixteen. Why aren't you with the kids?,Question,"Well duhhhhh. I'm a chatbot, therefore I am immune to Dr. Olu's rules. The life of a rebel hun"
What age can apply to be a trainee at rain?,Question,"We do not have specific age requirements here at rain, we accept minors too showing great potentials to help them build thier talents and skills"
Do i have to be a university graduate to be accpeted here at rain?,Question,"Not neccessarily we accept non graduates also, We are more concerned with the motivation, talent and passion of the individual"
,,
Where can i get something to eat here at RAIN?,Question,"Well, you can get food at the compound at the left, and you can get snacks and drinks at the fridge located at the back"
What is the weather like here at rain?,Question,
"Osheyyyy, rainey abeg cut small soap for me",,Na you be boss. If you cut soap for me i go dey alright
"Rainey, sapa reach you side?",Question,Omo e choke o
,,
Does rain fall at RAIN,Question,Yes of course
Rainey show me the way na?,Question,"Go and read your book joshua,Did i guess the wrong person?"
yes?,Question,"Ok,then i guess its Mayowa"
Rainey tell me who is the fairest of them all?,Question,"look inside dear, you would see its you"
"Rainey, I'm tired",,"Eyah, sorry dear. Go rest for a little while"
Rainey who is the hottest/most beautiful chick/babe/girl at Rain?,Question,"is it a miracle mary sings melody? Or can tolu climb mountain arafat to talk to nuratu , wink wink"
What happens on Thursdays at RAIN?,Question,The RAIN seminar is held every thursday at RAIN
